α,β,S₀,lab,t,md
0.2,1.1,0.9,growth-rate,8,4.470906
0.2,1.1,0.9,outbreak-size,8,2.166101
0.2,1.1,0.9,S₀,8,0.85298324
0.2,1.1,0.9,α,8,1.6366017
0.2,1.1,0.9,β,8,1.2828143
0.2,1.1,0.9,rep-number,8,1.559079
0.2,1.3,0.3,peak-intensity,16,3.4304018
0.2,1.3,0.3,growth-rate,16,3.0005648
0.2,1.3,0.3,outbreak-size,16,1.5590568
0.2,1.3,0.3,S₀,16,0.4161985
0.2,1.3,0.3,α,16,0.64401245
0.2,1.3,0.3,β,16,-0.22441328
0.2,1.3,0.3,rep-number,16,0.6722137
0.2,1.3,0.5,peak-intensity,11,3.5397413
0.2,1.3,0.5,growth-rate,11,3.4234395
0.2,1.3,0.5,outbreak-size,11,1.348926
0.2,1.3,0.5,S₀,11,0.56348836
0.2,1.3,0.5,α,11,1.0264829
0.2,1.3,0.5,β,11,0.31935206
0.2,1.3,0.5,rep-number,11,1.0616941
0.2,1.3,0.7,peak-intensity,8,3.7801137
0.2,1.3,0.7,growth-rate,8,4.100537
0.2,1.3,0.7,outbreak-size,8,1.7322931
0.2,1.3,0.7,S₀,8,0.89057446
0.2,1.3,0.7,α,8,1.412587
0.2,1.3,0.7,β,8,0.971357
0.2,1.3,0.7,rep-number,8,1.4874798
0.2,1.3,0.9,peak-intensity,7,4.333994
0.2,1.3,0.9,growth-rate,7,4.9778986
0.2,1.3,0.9,outbreak-size,7,2.4676135
0.2,1.3,0.9,S₀,7,1.2598858
0.2,1.3,0.9,α,7,1.8251681
0.2,1.3,0.9,β,7,1.4492317
0.2,1.3,0.9,rep-number,7,1.9239622
0.2,1.5,0.3,peak-intensity,14,3.3314974
0.2,1.5,0.3,growth-rate,14,2.9725504
0.2,1.5,0.3,outbreak-size,14,0.663059
0.2,1.5,0.3,S₀,14,-0.34016415
0.2,1.5,0.3,α,14,0.033242047
0.2,1.5,0.3,β,14,-0.25661474
0.2,1.5,0.3,rep-number,14,0.10034807
0.2,1.5,0.5,peak-intensity,9,3.3754427
0.2,1.5,0.5,growth-rate,9,3.4459844
0.2,1.5,0.5,outbreak-size,9,0.6263076
0.2,1.5,0.5,S₀,9,-0.1845852
0.2,1.5,0.5,α,9,0.30868798
0.2,1.5,0.5,β,9,0.46036613
0.2,1.5,0.5,rep-number,9,0.41857755
0.2,1.5,0.7,peak-intensity,7,3.8480566
0.2,1.5,0.7,growth-rate,7,4.354015
0.2,1.5,0.7,outbreak-size,7,1.1591837
0.2,1.5,0.7,S₀,7,0.32959732
0.2,1.5,0.7,α,7,0.86437905
0.2,1.5,0.7,β,7,1.2772049
0.2,1.5,0.7,rep-number,7,1.0243148
0.2,1.5,0.9,peak-intensity,6,4.266922
0.2,1.5,0.9,growth-rate,6,5.614883
0.2,1.5,0.9,outbreak-size,6,1.7164092
0.2,1.5,0.9,S₀,6,1.2398188
0.2,1.5,0.9,α,6,1.7176025
0.2,1.5,0.9,β,6,2.3061416
0.2,1.5,0.9,rep-number,6,2.0290217
